ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'14421,"('Logan_pass_parking',)",1815.0,2023-07-26 17:27:46,2023-07-26 17:58:01,30.25
'14431,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')",9509.0,2023-07-26 18:10:52,2023-07-26 21:09:52,179.0
'14521,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",2340.0,2023-07-26 18:38:44,2023-07-26 19:22:44,44.0
'14541,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",4065.0,2023-07-26 17:15:06,2023-07-26 18:46:06,91.0
'15091,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",10470.0,2023-07-27 12:19:15,2023-07-27 15:16:15,177.0
'15101,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",10020.0,2023-07-27 12:09:54,2023-07-27 14:56:39,166.75
'15161,"('Loop_highline_grinnell_glac',)",28695.0,2023-07-27 11:25:02,2023-07-27 19:36:17,491.25
'15251,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')",11632.0,2023-07-27 11:35:42,2023-07-27 15:03:43,208.01666666666668
'15321,"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')",2460.0,2023-07-27 13:44:15,2023-07-27 14:51:30,67.25
'15441,"('Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",1215.0,2023-07-27 15:34:27,2023-07-27 15:53:57,19.5
'15501,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",10680.0,2023-07-27 12:36:47,2023-07-27 15:45:47,189.0
'15532,"('Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",2820.0,2023-07-27 12:36:02,2023-07-27 17:35:47,299.75
'16011,"('Logan_pass_parking',)",825.0,2023-07-30 18:43:52,2023-07-30 18:57:37,13.75
'16021,"('Logan_pass_parking',)",675.0,2023-07-30 17:32:55,2023-07-30 17:58:55,26.0
'16181,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",6510.0,2023-07-31 17:57:49,2023-07-31 19:53:34,115.75
'16341,"('Logan_pass_parking',)",2280.0,2023-07-30 19:49:38,2023-07-30 20:27:38,38.0
'16411,"('Logan_pass_VC', 'Logan_pass_parking')",1290.0,2023-07-30 18:32:14,2023-07-30 19:01:44,29.5
'16501,"('Logan_pass_VC', 'Logan_pass_parking')",525.0,2023-07-30 19:06:39,2023-07-30 19:25:39,19.0
'17041,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",7485.0,2023-07-31 16:06:06,2023-07-31 18:17:06,131.0
'17081,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",5970.0,2023-07-31 16:27:00,2023-07-31 18:25:30,118.5
'17131,"('Logan_pass_parking',)",2190.0,2023-07-31 16:14:18,2023-07-31 16:50:48,36.5
