Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Avalanche', 'Logan', 'Avalanche', 'LakeMcDonald', 'Apgar')","[""'19241"", ""'21351"", ""'23011""]",3,"[17145.0, 40636.0, 30165.0]","['2023-08-01 10:34:22', '2023-08-03 09:21:11', '2023-08-06 09:40:57']","['2023-08-01 17:19:33', '2023-08-04 02:28:53', '2023-08-06 19:26:18']","[405.18333333333334, 1027.7, 585.35]"
"('Avalanche', 'Logan', 'RisingSun', 'StMary', 'SunPoint', 'Waterfalls', 'Logan', 'Avalanche', 'LakeMcDonald')","[""'19311""]",1,[13820.0],['2023-08-01 11:05:08'],['2023-08-01 18:17:27'],[432.31666666666666]
"('Waterfalls', 'Logan', 'LakeMcDonald', 'Apgar')","[""'20041""]",1,[26712.0],['2023-08-02 11:43:36'],['2023-08-02 23:58:17'],[734.6833333333333]
"('Waterfalls', 'LakeMcDonald', 'Logan', 'LakeMcDonald')","[""'20071""]",1,[13410.0],['2023-08-02 11:38:32'],['2023-08-02 20:33:29'],[534.95]
"('SunPoint', 'Loop', 'LakeMcDonald')","[""'20161""]",1,[12675.0],['2023-08-02 12:45:35'],['2023-08-02 17:50:20'],[304.75]
"('RisingSun', 'Logan')","[""'20201""]",1,[1980.0],['2023-08-02 12:34:48'],['2023-08-02 13:32:18'],[57.5]
"('SunPoint', 'Logan', 'Avalanche', 'LakeMcDonald', 'Apgar')","[""'20291""]",1,[34024.0],['2023-08-02 10:43:31'],['2023-08-03 01:54:20'],[910.8166666666667]
"('RisingSun', 'Waterfalls')","[""'20391""]",1,[6270.0],['2023-08-02 12:21:17'],['2023-08-02 16:04:32'],[223.25]
"('Logan', 'Avalanche', 'LakeMcDonald', 'Apgar')","[""'21141""]",1,[38564.0],['2023-08-03 08:12:16'],['2023-08-03 23:42:21'],[930.0833333333334]
"('LakeMcDonald', 'Avalanche', 'Logan', 'LakeMcDonald')","[""'21341""]",1,[17535.0],['2023-08-03 08:59:10'],['2023-08-03 15:49:10'],[410.0]
"('Avalanche', 'LakeMcDonald')","[""'21521"", ""'25241""]",2,"[21044.0, 14550.0]","['2023-08-03 10:46:44', '2023-08-08 13:07:51']","['2023-08-03 16:05:21', '2023-08-08 17:42:21']","[318.6166666666667, 274.5]"
"('StMary', 'SunPoint', 'Waterfalls', 'SunPoint', 'RisingSun', 'StMary')","[""'22021"", ""'22121""]",2,"[15803.0, 30867.0]","['2023-08-06 08:18:43', '2023-08-06 08:24:19']","['2023-08-07 00:04:49', '2023-08-07 01:44:28']","[946.1, 1040.15]"
"('StMary', 'Logan')","[""'22091""]",1,[18960.0],['2023-08-06 08:02:25'],['2023-08-06 14:08:10'],[365.75]
"('StMary', 'Logan', 'SunPoint', 'StMary')","[""'22221""]",1,[19620.0],['2023-08-06 08:00:47'],['2023-08-06 16:57:02'],[536.25]
"('StMary', 'Waterfalls')","[""'22261""]",1,[2513.0],['2023-08-06 07:46:41'],['2023-08-06 14:23:19'],[396.6333333333333]
"('StMary', 'Logan', 'StMary')","[""'22401""]",1,[29218.0],['2023-08-06 08:07:31'],['2023-08-06 21:17:42'],[790.1833333333333]
"('StMary', 'RisingSun', 'StMary')","[""'22411""]",1,[60539.0],['2023-08-06 08:26:22'],['2023-08-07 01:59:31'],[1053.15]
"('StMary', 'RisingSun', 'Waterfalls', 'SunPoint', 'RisingSun', 'StMary')","[""'22461""]",1,[14804.0],['2023-08-06 08:21:50'],['2023-08-06 20:23:47'],[721.95]
"('StMary', 'Logan', 'Waterfalls', 'SunPoint')","[""'22471""]",1,[9292.0],['2023-08-06 07:45:43'],['2023-08-06 12:07:50'],[262.1166666666667]
